RecipientName,country_code,country_type,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Cambodia,KHM,LDCs,22381009185.0,6,Nature_conservation,Environment,31,4.348490252999999,0.0
Cambodia,KHM,LDCs,22381009185.0,7,Other-environment-projects,Environment,69,12.768876725999998,0.0
Cambodia,KHM,LDCs,22381009185.0,8,Sustainable-land-use,Environment,143,77.278869856,0.0
Cambodia,KHM,LDCs,22381009185.0,10,Renewables-multiple,Mitigation,6,0.1407642736999999,0.1407642736999999
Cambodia,KHM,LDCs,22381009185.0,11,Hydro-energy,Mitigation,11,11.7193784,11.7193784
Cambodia,KHM,LDCs,22381009185.0,12,Energy-efficiency,Mitigation,3,0.0373601,0.0373601
Cameroon,CMR,LMICs,35207235376.0,0,Adaptation,Adaptation,31,2.01311522,2.01311522
Cameroon,CMR,LMICs,35207235376.0,1,Solar-energy,Mitigation,17,0.8373796299999999,0.8373796299999999
Cameroon,CMR,LMICs,35207235376.0,2,Bioenergy,Mitigation,3,0.0623776999999999,0.0623776999999999
Cameroon,CMR,LMICs,35207235376.0,3,Other-mitigation-projects,Mitigation,6,0.5965930999999998,0.5965930999999998
Cameroon,CMR,LMICs,35207235376.0,4,Biodiversity,Environment,52,2.5503962999999996,0.0
Cameroon,CMR,LMICs,35207235376.0,5,Geothermal-energy,Mitigation,1,0.0,0.0
Cameroon,CMR,LMICs,35207235376.0,6,Nature_conservation,Environment,10,15.026882140000001,0.0
Cameroon,CMR,LMICs,35207235376.0,7,Other-environment-projects,Environment,49,4.59900303,0.0
Cameroon,CMR,LMICs,35207235376.0,8,Sustainable-land-use,Environment,101,64.28109044,0.0
Cameroon,CMR,LMICs,35207235376.0,10,Renewables-multiple,Mitigation,24,18.04519674,18.04519674
Cameroon,CMR,LMICs,35207235376.0,11,Hydro-energy,Mitigation,8,32.985448,32.985448
Cameroon,CMR,LMICs,35207235376.0,12,Energy-efficiency,Mitigation,3,0.2491965,0.2491965
Cameroon,CMR,LMICs,35207235376.0,13,Wind-energy,Mitigation,1,0.0348336,0.0348336
