RecipientName,climate_funding,climate finance (including nature),environment_funding,mitigation_funding,adaptation_funding,effective_funding
China (People's Republic of),0.0,89.28622409399999,89.28622409399999,0.0,0.0,89.28622409399999
China (People's Republic of),0.0,331.83003832400004,331.83003832400004,0.0,0.0,331.83003832400004
China (People's Republic of),0.0179585999999999,0.0179585999999999,0.0,0.0179585999999999,0.0,0.0179585999999999
China (People's Republic of),0.109084505,0.109084505,0.0,0.109084505,0.0,0.109084505
China (People's Republic of),0.257555,0.257555,0.0,0.257555,0.0,0.257555
China (People's Republic of),5.33935876,5.33935876,0.0,5.33935876,0.0,5.33935876
China (People's Republic of),7.550372619999999,7.550372619999999,0.0,7.550372619999999,0.0,7.550372619999999
China (People's Republic of),19.97601744,19.97601744,0.0,19.97601744,0.0,19.97601744
China (People's Republic of),20.6951343,20.6951343,0.0,20.6951343,0.0,20.6951343
China (People's Republic of),22.49289272,22.49289272,0.0,22.49289272,0.0,22.49289272
China (People's Republic of),61.32935429299999,61.32935429299999,0.0,61.32935429299999,0.0,61.32935429299999
China (People's Republic of),95.73631847399997,95.73631847399997,0.0,0.0,95.73631847399997,95.73631847399997
Colombia,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,21.81881738,21.81881738,0.0,0.0,21.81881738
Colombia,0.0,32.95512633,32.95512633,0.0,0.0,32.95512633
Colombia,0.0,33.581716559,33.581716559,0.0,0.0,33.581716559
Colombia,0.0,171.713486431,171.713486431,0.0,0.0,171.713486431
Colombia,0.10636438999999989,0.10636438999999989,0.0,0.10636438999999989,0.0,0.10636438999999989
Colombia,0.2959584,0.2959584,0.0,0.2959584,0.0,0.2959584
Colombia,2.38728233,2.38728233,0.0,2.38728233,0.0,2.38728233
Colombia,12.911132419,12.911132419,0.0,12.911132419,0.0,12.911132419
Colombia,16.68004942,16.68004942,0.0,16.68004942,0.0,16.68004942
Colombia,127.314836614,127.314836614,0.0,127.314836614,0.0,127.314836614
Colombia,355.63032474700003,355.63032474700003,0.0,0.0,355.63032474700003,355.63032474700003
Comoros,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,0.0,0.0562161999999999,0.0562161999999999,0.0,0.0,0.0562161999999999
Comoros,0.0,0.2638029999999999,0.2638029999999999,0.0,0.0,0.2638029999999999
Comoros,0.0,1.6942614799999998,1.6942614799999998,0.0,0.0,1.6942614799999998
Comoros,0.0234428,0.0234428,0.0,0.0234428,0.0,0.0234428
Congo,0.0,0.09848710000000001,0.09848710000000001,0.0,0.0,0.09848710000000001
Congo,0.0,0.22090145999999988,0.22090145999999988,0.0,0.0,0.22090145999999988
Congo,0.0,1.0331297999999998,1.0331297999999998,0.0,0.0,1.0331297999999998
Congo,0.0,5.6590413,5.6590413,0.0,0.0,5.6590413
Congo,0.1738500499999998,0.1738500499999998,0.0,0.1738500499999998,0.0,0.1738500499999998
Congo,0.37025859999999977,0.37025859999999977,0.0,0.0,0.37025859999999977,0.37025859999999977
